video_num,duration,comments,Funny,Beautiful,Ingenious,Courageous,Longwinded,Confusing,Informative,Fascinating,Unconvincing,Persuasive,Jaw-dropping,OK,Obnoxious,Inspiring,tags,views
488,576,54,73,78,95,106,95,90,96,26,134,4,36,56,20,13,"['art', 'cities', 'design']",522578
489,254,81,228,129,144,393,37,67,27,20,2,5,2,22,3,3,"['biology', 'biotech', 'health', 'health care', 'medicine', 'science', 'technology']",462619
490,392,155,217,151,316,461,453,61,19,31,65,55,51,48,19,18,"['brain', 'consciousness', 'crime', 'genetics', 'mental health', 'mind', 'neuroscience', 'psychology', 'science', 'violence']",2064604
491,888,301,395,640,59,214,79,212,57,193,39,209,33,122,84,15,"['anthropology', 'biology', 'evolution', 'human origins', 'humanity', 'race', 'science']",996694
492,1003,514,711,430,87,19,163,82,51,72,87,199,22,172,14,59,"['Europe', 'collaboration', 'communication', 'economics', 'global issues', 'politics', 'technology']",811914
493,1011,471,633,3458,1759,1173,662,1393,985,613,207,246,70,65,35,53,"['culture', 'philosophy', 'success', 'work', 'work-life balance']",5790615
494,933,85,20,22,32,253,223,210,84,137,75,14,63,12,40,10,"['art', 'creativity', 'design', 'poetry', 'software', 'technology']",771144
495,1033,621,371,278,70,646,155,457,21,211,531,504,175,36,1031,2194,"['apes', 'evolution', 'science']",1038576
496,1183,103,114,118,197,404,287,162,62,12,11,97,42,5,6,9,"['art', 'creativity']",640722
497,571,752,697,1004,869,650,1426,540,156,23,97,42,34,73,21,125,"['business', 'demo', 'design', 'global issues', 'invention', 'technology', 'water']",3573198
498,1109,403,300,182,282,86,131,49,199,202,40,18,42,34,3,5,"['business', 'cities', 'culture', 'economics', 'global issues', 'politics']",572392
499,1062,141,408,52,227,217,660,280,531,48,31,123,32,25,22,3,"['biodiversity', 'biology', 'biomimicry', 'biotech', 'creativity', 'design', 'innovation', 'invention', 'nature']",1118954
500,1083,210,550,237,362,140,36,76,61,77,8,18,19,10,9,5,"['entertainment', 'global issues', 'live music', 'music', 'performance', 'poetry', 'politics', 'war']",776516
501,1116,1094,3810,4278,4772,4797,184,133,152,483,1191,489,1067,825,348,86,"['brain', 'business', 'creativity', 'motivation', 'science', 'social change', 'work']",18830983
502,609,428,491,94,900,708,325,136,583,74,42,23,6,29,42,20,"['engineering', 'entrepreneur', 'future', 'infrastructure', 'science', 'technology']",2088983
503,1196,122,613,800,472,245,415,12,182,225,67,46,12,26,11,6,"['Africa', 'Asia', 'data', 'global development', 'global issues', 'math', 'medicine', 'presentation', 'science', 'statistics', 'technology', 'visualizations']",1471039
504,879,123,67,175,166,125,134,27,59,66,118,68,51,46,14,17,"['animation', 'media', 'performance', 'performance art', 'storytelling', 'theater']",389813
505,1028,99,74,235,185,336,227,72,45,54,31,48,11,30,17,5,"['Anthropocene', 'agriculture', 'biodiversity', 'climate change', 'disaster relief', 'ecology', 'environment', 'food', 'garden', 'plants']",679728
506,334,118,156,516,207,72,26,67,127,65,38,10,34,9,19,11,"['global development', 'global issues', 'health', 'health care', 'innovation', 'invention', 'product design', 'sight']",751452
507,1080,91,123,58,94,74,43,98,24,6,21,18,2,26,11,5,"['culture', 'design', 'health', 'social change', 'technology']",308233
508,279,125,306,352,8,75,184,164,92,12,22,85,50,9,6,19,"['design', 'math', 'presentation', 'science', 'visualizations']",811565
509,870,60,19,96,23,67,76,230,49,43,17,25,19,7,10,6,"['entertainment', 'film', 'space', 'sports', 'technology']",571893
510,1162,288,457,43,251,366,66,41,83,133,356,30,84,18,10,1,"['climate change', 'global issues', 'photography', 'science', 'technology']",914170
511,1133,110,208,328,342,36,91,22,25,14,33,8,17,50,17,0,"['adventure', 'climate change', 'science', 'sports']",689476
512,1011,386,356,1274,72,21,263,1348,253,383,221,76,61,280,118,85,"['brain', 'morality', 'science', 'technology']",2856240
513,814,146,68,73,41,171,46,102,49,52,18,10,11,8,18,0,"['Asia', 'beauty', 'culture', 'history', 'music', 'performance']",414396
514,1170,91,564,127,171,212,281,39,39,42,15,37,78,20,15,4,"['adventure', 'crime', 'economics', 'global issues', 'narcotics', 'writing']",891314
515,1094,227,430,816,629,540,144,365,269,32,82,80,12,18,13,7,"['architecture', 'cities', 'creativity', 'design', 'environment', 'green']",2129938
516,624,108,877,289,105,41,235,18,29,26,194,85,181,39,35,9,"['comedy', 'humor', 'philosophy', 'science']",1159134
517,1128,328,2032,190,175,182,344,2562,465,175,160,246,118,26,26,15,"['biology', 'brain', 'medicine', 'mental health', 'mind', 'neuroscience', 'psychology', 'sight']",4233352
518,237,91,54,560,104,25,149,49,19,22,8,10,19,8,5,1,"['creativity', 'entertainment', 'live music', 'music', 'performance', 'piano']",883282
519,1191,96,22,237,364,156,251,68,12,9,64,30,47,16,40,434,"['Internet', 'culture', 'law', 'technology', 'web', 'wikipedia']",717483
520,713,110,31,28,163,62,14,114,15,115,55,30,48,17,19,0,"['Internet', 'government', 'politics', 'technology', 'web']",430276
521,359,292,2576,486,851,294,522,385,122,95,10,47,15,82,7,74,"['Africa', 'creativity', 'energy', 'invention', 'poverty']",2161908
522,1052,171,213,284,821,341,275,363,598,154,202,189,74,73,35,17,"['adventure', 'art', 'culture', 'curiosity', 'photography']",1581054
523,1024,52,24,92,122,29,232,46,43,32,22,23,26,5,10,3,"['Africa', 'business', 'economics', 'global development', 'global issues', 'inequality', 'innovation', 'invention', 'philanthropy', 'poverty', 'women']",436147
524,1133,185,335,681,289,143,129,43,169,51,84,55,42,8,36,19,"['Asia', 'economics', 'global issues', 'history', 'infrastructure', 'map', 'politics', 'state-building', 'war', 'world cultures']",935859
525,1010,64,202,77,19,522,13,141,30,284,158,44,6,40,83,1,"['art', 'business', 'design', 'green', 'history', 'product design']",1340175
526,594,311,46,95,141,95,431,144,206,71,163,55,13,14,15,4,"['God', 'TED Prize', 'global issues', 'politics', 'religion', 'violence']",732390
527,952,70,240,247,79,70,68,66,22,28,12,28,20,13,9,3,"['astronomy', 'chemistry', 'life', 'science', 'technology', 'telescopes', 'universe']",593547
528,1060,158,913,192,149,66,161,178,180,224,80,216,29,123,42,32,"['TED Brain Trust', 'adventure', 'art', 'creativity', 'design', 'happiness', 'innovation', 'work']",2956967
529,940,111,327,474,219,45,51,100,79,247,45,15,12,36,36,43,"['ancient world', 'cities', 'culture', 'food', 'global issues']",1014285
530,999,248,333,597,341,64,115,396,52,134,128,48,38,45,59,30,"['TEDx', 'business', 'communication', 'culture', 'leadership', 'society']",1404586
531,1129,1155,5607,9566,2817,109,3002,2687,948,78,713,2983,103,744,333,85,"['Africa', 'books', 'culture', 'identity', 'storytelling', 'writing']",13298341
532,990,234,128,1429,241,896,290,175,357,347,283,52,141,206,29,13,"['art', 'brain', 'consciousness', 'mind', 'psychology', 'science', 'visualizations']",5006241
533,267,149,144,168,112,34,97,167,42,34,49,35,5,16,13,9,"['architecture', 'books', 'culture', 'design', 'entertainment', 'men']",739428
534,969,57,74,229,230,268,70,80,367,100,37,16,15,20,8,8,"['cities', 'environment', 'history', 'life', 'nature', 'sustainability', 'technology', 'visualizations']",1431255
535,297,178,267,107,95,166,174,12,6,44,89,13,9,10,24,21,"['body language', 'demo', 'design', 'engineering', 'entertainment', 'robots', 'technology']",906262
536,999,286,843,2306,794,872,776,884,145,32,65,23,19,38,45,74,"['advertising', 'business', 'consumerism', 'creativity', 'economics', 'happiness', 'life', 'psychology']",2882836
537,890,343,58,368,187,540,318,73,47,180,89,26,129,80,27,6,"['brain', 'computers', 'consciousness', 'mind', 'neuroscience', 'philosophy', 'technology']",1180127
538,346,184,100,251,544,117,911,394,94,50,13,114,19,18,12,5,"['birds', 'business', 'cities', 'entertainment', 'music']",1557795
539,994,133,94,286,157,40,98,94,24,136,18,7,29,20,11,8,"['TEDx', 'advertising', 'business', 'consumerism', 'economics', 'marketing']",760493
540,366,89,163,13,186,226,36,139,6,29,79,29,9,8,3,3,"['TEDx', 'animation', 'art', 'computers', 'design', 'film', 'technology', 'visualizations']",748862
541,1251,207,953,1522,630,224,906,254,61,31,306,215,40,30,27,12,"['business', 'conducting', 'leadership', 'music', 'psychology', 'society']",2890058
542,285,233,297,177,55,103,172,59,493,27,26,28,2,5,4,0,"['Vaccines', 'biotech', 'design', 'global development', 'health', 'medicine', 'sanitation', 'science', 'technology']",629018
543,426,112,41,96,112,113,85,107,191,38,28,10,28,10,5,6,"['economics', 'future', 'global development', 'global issues', 'inequality', 'prediction', 'technology']",1072435
544,998,270,399,196,256,71,105,59,338,167,23,149,45,41,26,25,"['ancient world', 'cosmos', 'faith', 'history', 'philosophy', 'physics', 'religion', 'science', 'technology']",938937
545,452,156,338,376,93,86,198,43,232,51,230,58,42,37,92,5,"['architecture', 'art', 'biology', 'design', 'global development', 'industrial design', 'life', 'science', 'sustainability', 'technology']",1095398
546,429,259,567,75,676,90,103,154,120,15,140,46,33,31,37,7,"['depression', 'happiness', 'life', 'personal growth', 'poverty', 'social change', 'society', 'storytelling']",1098346
547,1099,72,322,116,116,32,262,130,76,65,34,39,97,12,31,3,"['architecture', 'art', 'beauty', 'math', 'physics', 'universe']",1010292
548,141,46,43,70,48,123,68,43,33,21,49,36,30,4,6,16,"['creativity', 'live music', 'music', 'performance']",771962
549,531,152,325,184,117,61,36,76,124,33,31,115,15,17,16,8,"['anthropology', 'humanity', 'love', 'psychology', 'social media', 'society', 'sociology', 'technology']",1198897
550,185,61,165,148,115,43,36,6,14,11,5,6,5,1,0,0,"['business', 'cities', 'design', 'global issues', 'social change', 'technology']",411183
551,253,124,108,260,28,76,36,51,38,16,67,13,22,12,17,21,"['chemistry', 'climate change', 'environment', 'global issues', 'science', 'weather']",470615
552,220,75,155,119,50,68,69,88,34,97,15,7,32,19,7,0,"['TED Prize', 'design', 'energy', 'global issues', 'photography', 'technology']",480142
553,337,70,13,28,252,143,92,16,17,54,22,14,3,54,15,10,"['culture', 'entertainment', 'global issues', 'poetry', 'politics']",441609
554,830,1329,8416,4743,4403,4702,1904,535,663,761,171,83,108,165,85,341,"['demo', 'design', 'open-source', 'technology']",16097077
555,1084,50,98,63,153,23,113,51,22,71,57,66,36,20,20,10,"['biomimicry', 'design', 'disease', 'green', 'innovation', 'nature', 'product design', 'science', 'technology']",431307
556,995,55,85,63,80,129,99,44,272,51,56,42,16,7,5,0,"['environment', 'global issues', 'leadership', 'politics', 'women in business']",956175
557,1106,477,504,350,1014,460,172,1178,631,75,273,136,33,40,70,57,"['business', 'culture', 'global issues', 'india']",1683308
558,565,88,270,316,124,105,77,97,19,24,26,24,14,13,6,8,"['astronomy', 'history', 'innovation', 'science', 'technology']",569026
559,950,276,773,724,384,651,296,480,45,100,298,86,16,7,59,7,"['Asia', 'economics', 'health', 'india', 'statistics', 'technology', 'visualizations']",1738069
560,1000,199,90,30,260,341,227,56,98,17,30,64,72,91,19,3,"['big problems', 'cities', 'energy', 'environment', 'future', 'green', 'infrastructure', 'pollution', 'sustainability', 'technology']",807653
561,703,148,50,469,265,280,129,114,88,95,124,113,14,16,10,11,"['Africa', 'architecture', 'bacteria', 'biology', 'design', 'sustainability', 'water']",666784
562,1012,595,141,68,110,219,41,112,53,94,67,122,33,45,70,24,"['culture', 'dance', 'entertainment', 'global issues', 'politics', 'social change']",481834
563,1073,402,743,1148,278,27,31,21,374,591,464,166,102,163,82,6,"['business', 'culture', 'entertainment', 'global issues', 'india', 'politics', 'writing']",1437808
564,1030,193,74,101,24,74,21,86,52,40,28,17,43,10,11,0,"['Europe', 'big problems', 'environment', 'global issues', 'government', 'interview', 'politics', 'war']",512817
565,986,146,128,41,139,58,101,394,371,90,41,55,76,24,17,44,"['astronomy', 'dark matter', 'exploration', 'physics', 'science', 'space', 'technology', 'telescopes']",763145
566,1034,150,49,315,348,504,154,379,188,31,114,9,165,9,6,3,"['architecture', 'design', 'environment', 'history', 'india', 'innovation', 'photography', 'rivers', 'sustainability', 'water']",833308
567,709,39,118,22,130,103,102,49,52,16,32,19,38,16,17,0,"['art', 'computers', 'design', 'gaming', 'math', 'online video']",517779
568,762,552,1327,407,1880,590,596,76,26,99,11,11,30,9,7,2,"['Asia', 'Slavery', 'children', 'global issues', 'poverty', 'sex', 'sexual violence', 'trafficking', 'women']",2543750
569,881,69,517,28,25,129,60,14,26,48,29,19,57,11,6,15,"['comedy', 'global issues', 'government', 'humor', 'performance', 'politics']",1112000
570,1254,56,116,45,31,88,180,135,17,74,72,13,21,29,5,18,"['art', 'history', 'performance', 'personal growth']",716979
571,1047,64,75,170,54,81,34,34,2,2,40,5,19,6,3,0,"['design', 'health', 'health care', 'humanity', 'medicine', 'public health', 'sight', 'technology']",297107
572,305,171,134,138,197,56,94,7,37,58,34,11,35,11,20,15,"['Egypt', 'culture', 'entertainment', 'global issues', 'media', 'music']",483137
573,944,97,165,477,71,317,176,24,155,50,37,24,38,44,10,16,"['corruption', 'economics', 'global issues', 'money', 'terrorism']",639995
574,680,96,176,39,92,305,66,143,29,13,32,3,12,4,5,5,"['Asia', 'art', 'humanity', 'photography', 'storytelling', 'war']",541603
575,266,174,250,221,705,325,168,105,47,322,21,51,17,47,33,13,"['Internet', 'animals', 'business', 'culture', 'entertainment', 'entrepreneur', 'oceans', 'web']",2066733
576,998,56,2,323,294,63,69,55,26,27,16,58,4,16,3,0,"['biodiversity', 'biology', 'birds', 'ecology', 'insects', 'science']",553253
577,570,115,111,153,402,65,42,154,265,44,101,59,17,11,16,3,"['art', 'books', 'language', 'music', 'poetry', 'writing']",819664
578,641,140,254,246,44,140,64,7,52,38,20,21,21,8,18,3,"['Asia', 'TED Fellows', 'crime', 'entrepreneur', 'potential', 'poverty', 'social change', 'society']",497172
579,594,184,323,179,158,69,28,12,51,12,6,119,31,49,14,2,"['alternative energy', 'climate change', 'energy', 'environment', 'physics']",706235
580,268,168,170,71,28,95,34,39,32,25,4,20,5,3,11,4,"['TED Fellows', 'culture', 'entrepreneur', 'global issues', 'health', 'health care', 'peace', 'politics', 'violence', 'war']",415223
581,3296,307,132,56,291,205,83,12,31,126,19,58,39,38,32,9,"['government', 'law', 'philosophy', 'politics']",393459
582,889,105,40,21,62,126,33,51,19,11,123,56,50,23,15,22,"['business', 'creativity', 'engineering', 'global development', 'infrastructure', 'innovation', 'poverty']",154698
583,1066,93,604,59,184,83,186,53,146,64,53,43,23,21,10,10,"['adventure', 'aircraft', 'engineering', 'green', 'solar energy', 'technology']",778978
584,463,380,436,776,1251,238,506,91,271,29,63,31,32,8,8,5,"['biology', 'brain', 'cities', 'cognitive science', 'evolution', 'neuroscience', 'science']",1939385
585,798,58,249,309,63,55,8,84,97,113,107,26,58,6,35,19,"['art', 'nature', 'photography', 'science']",1780196
586,1179,304,861,1181,671,1136,122,132,43,128,18,54,27,47,53,13,"['TEDx', 'biology', 'culture', 'exploration', 'food', 'health', 'life', 'science']",3157446
587,1038,42,111,72,67,38,114,40,56,19,5,14,7,7,5,6,"['animals', 'biodiversity', 'ecology', 'environment', 'water']",397719
588,1505,74,14,51,145,80,68,84,16,11,16,8,20,5,5,8,"['live music', 'music', 'performance']",652315
589,4587,124,299,892,200,41,88,172,264,107,80,10,5,41,15,7,"['culture', 'disease', 'education', 'life', 'self']",564781
590,2246,204,40,564,342,161,445,532,92,135,134,11,9,14,7,37,"['biology', 'brain', 'humanity', 'life', 'mind', 'primates', 'psychology']",572845
591,510,87,246,94,171,42,64,11,42,22,56,47,24,6,7,34,"['business', 'life', 'money', 'presentation']",149818
592,242,93,113,34,57,83,252,133,43,25,24,5,6,3,1,0,"['activism', 'animals', 'biodiversity', 'environment', 'social change']",415566
593,572,277,1287,99,246,292,301,131,321,58,41,138,9,13,14,12,"['children', 'education', 'india', 'social change', 'society']",1417163
594,174,43,76,116,45,51,32,36,8,13,5,6,8,2,3,0,"['cities', 'collaboration', 'design', 'map', 'technology']",359942
595,3573,20,25,10,20,14,4,18,31,10,4,7,5,2,1,3,"['books', 'disaster relief', 'novel', 'poetry', 'storytelling']",50443
596,1083,120,78,782,47,24,40,24,80,86,174,55,41,91,20,11,"['astronomy', 'comedy', 'humor', 'map', 'science']",1055904
597,1219,296,913,897,61,738,722,52,75,236,111,38,97,147,43,17,"['biology', 'magic', 'medicine', 'performance']",15601385
598,394,35,85,55,75,11,44,59,11,8,4,2,9,7,11,2,"['Asia', 'art', 'design', 'future', 'india']",437800
599,1072,151,473,358,504,264,310,36,57,5,34,33,5,6,6,9,"['biology', 'health', 'medicine', 'science', 'technology']",1705132
600,1000,104,46,182,120,161,137,48,103,17,20,32,31,12,25,6,"['live music', 'music', 'performance']",556163
601,3475,133,156,136,64,192,51,133,112,3,62,19,47,21,20,70,"['biology', 'evolution', 'life', 'science', 'universe']",318423
602,182,177,825,351,202,75,253,219,25,49,39,91,120,11,140,18,"['education', 'performance', 'poetry', 'writing']",676741
603,565,111,74,412,176,77,80,109,15,71,25,17,8,11,7,5,"['cities', 'health', 'health care', 'heart health', 'medicine', 'public health', 'technology']",761716
604,1122,37,22,31,176,105,32,113,45,52,43,12,10,15,17,1,"['TEDx', 'architecture', 'creativity', 'design', 'theater']",717531
605,1194,472,549,870,160,71,111,152,434,192,24,32,111,31,44,66,"['culture', 'feminism', 'gender', 'self', 'social change', 'women']",1224278
606,286,144,125,370,299,41,115,129,34,54,44,3,5,6,2,1,"['TED Fellows', 'children', 'design', 'entrepreneur', 'health', 'innovation', 'invention', 'medicine']",702550
607,162,238,924,558,274,758,513,158,333,87,10,17,86,9,34,13,"['business', 'creativity', 'map']",2835976
608,1258,356,18,3436,969,1288,498,745,98,422,322,371,245,14,18,40,"['books', 'creativity', 'goal-setting', 'poverty', 'writing']",1406151
609,1081,113,14,125,224,23,25,14,200,129,28,93,26,51,79,17,"['big problems', 'brain', 'economics', 'global issues', 'health', 'sanitation', 'technology', 'women']",495585
610,1014,95,228,108,199,69,87,97,29,58,8,2,6,8,13,4,"['collaboration', 'community', 'entrepreneur', 'health', 'health care', 'media', 'medicine']",528451
611,976,68,313,107,144,33,120,50,16,11,74,20,10,24,9,11,"['TEDx', 'biotech', 'chemistry', 'disease', 'health', 'health care', 'innovation', 'poverty', 'science', 'technology']",496827
612,1424,171,121,118,177,52,10,42,59,44,25,31,104,34,8,1,"['cancer', 'health', 'health care', 'medicine', 'technology']",696319
613,801,36,143,26,119,83,68,21,23,28,16,20,12,4,0,0,"['art', 'astronomy', 'creativity', 'illness', 'science', 'space']",433879
614,1021,196,349,494,77,96,293,387,56,65,21,21,23,9,9,5,"['TEDx', 'corruption', 'global issues', 'money', 'politics']",741625
615,1313,1137,1413,3316,1547,4779,359,2606,99,844,297,470,249,113,109,69,"['business', 'education', 'food', 'global issues', 'health', 'obesity']",7638978
616,465,209,849,459,303,90,591,244,123,28,103,16,52,31,12,8,"['cities', 'design', 'map', 'technology', 'virtual reality']",1718568
617,839,250,233,286,272,69,109,56,241,88,39,60,15,28,21,25,"['business', 'global issues', 'politics']",656762
618,1318,266,94,56,158,1125,513,145,249,165,562,15,47,85,29,10,"['activism', 'happiness', 'health', 'prosthetics', 'social change', 'society']",2054164
619,1669,948,181,962,263,795,141,728,221,367,224,39,80,38,61,78,"['TED Brain Trust', 'business', 'energy', 'global issues', 'invention', 'science', 'technology']",4329332
620,992,142,189,129,65,141,33,55,175,78,101,6,15,30,27,46,"['TEDx', 'computers', 'history', 'life', 'technology']",540897
621,1101,277,120,758,263,269,101,107,443,37,54,14,17,17,17,19,"['business', 'design', 'health care', 'law']",610454
622,1018,110,228,250,87,139,113,12,33,80,5,16,14,12,7,2,"['TEDMED', 'disease', 'health', 'health care', 'medicine', 'technology']",710710
623,1183,383,843,2290,1432,341,1357,31,542,312,302,141,45,99,39,27,"['Autism spectrum disorder', 'animals', 'brain', 'design', 'education', 'invention', 'mental health', 'science', 'technology']",4375111
624,1103,68,111,217,19,216,24,332,48,7,63,75,75,7,2,2,"['biology', 'health care', 'medicine', 'neuroscience', 'science', 'sight']",840223
625,1075,189,86,402,612,282,210,229,39,13,53,43,15,13,9,24,"['art', 'culture', 'design', 'entertainment']",674090
626,184,321,163,1573,1194,1342,911,299,777,796,14,35,73,14,8,12,"['brain', 'mind', 'music', 'performance']",3302312
627,1206,425,234,1417,360,1169,615,543,29,161,85,64,62,85,42,7,"['brain', 'culture', 'economics', 'happiness', 'mind', 'philosophy', 'psychology', 'science']",3841631
628,1019,90,178,12,149,28,173,21,46,87,14,30,44,15,24,9,"['business', 'culture', 'entertainment', 'india', 'sports']",567000
629,385,112,141,271,229,69,120,37,50,232,67,9,11,4,2,0,"['data', 'demo', 'interface design', 'technology', 'web']",654080
630,3955,146,324,362,306,163,134,46,130,50,42,14,5,6,12,6,"['astronomy', 'physics', 'science']",521974
631,1028,197,456,1033,89,158,228,86,164,138,48,70,32,24,8,56,"['adventure', 'entertainment', 'film', 'movies', 'nature', 'oceans', 'storytelling', 'submarine', 'technology', 'writing']",1890066
632,1008,216,1093,543,805,162,454,27,103,36,78,26,27,32,27,13,"['collaboration', 'dance', 'entertainment', 'gaming', 'performance']",2797058
633,1092,258,70,102,1374,262,92,120,481,72,237,402,132,116,11,14,"['business', 'happiness', 'life', 'mind', 'psychology', 'self']",971594
634,333,90,278,219,171,144,19,87,89,31,14,29,11,9,7,4,"['Internet', 'computers', 'statistics', 'visualizations', 'web']",680486
635,266,210,216,215,165,205,59,63,16,52,19,71,8,5,8,4,"['cities', 'culture', 'design', 'transportation']",575346
636,1142,317,324,1227,681,562,746,118,275,694,191,47,52,34,7,16,"['agriculture', 'biology', 'environment', 'food', 'health']",1974007
637,545,164,141,97,74,123,49,208,70,102,60,125,35,18,26,6,"['entertainment', 'illusion', 'magic', 'medicine', 'science']",1022426
638,927,556,758,316,464,172,155,88,430,114,35,55,85,44,152,91,"['Internet', 'business', 'entrepreneur', 'money', 'web']",757791
639,1093,101,52,300,399,517,126,165,69,18,27,17,9,16,10,6,"['biology', 'fish', 'health care', 'science', 'war']",708408
640,1001,82,16,19,24,116,202,62,145,28,68,28,14,4,3,0,"['business', 'health', 'health care', 'science', 'technology']",384626
641,5256,101,293,663,290,98,262,62,96,77,11,16,20,4,0,0,"['biodiversity', 'biology', 'comedy', 'humor', 'life', 'religion', 'storytelling', 'writing']",473220
642,1203,1309,1541,2421,1139,453,118,547,1137,774,481,221,511,185,93,112,"['computers', 'design', 'entertainment', 'gaming', 'global issues', 'play']",4573252
643,1249,104,180,137,45,57,136,29,35,32,8,9,5,6,139,0,"['adventure', 'biology', 'exploration', 'humanity', 'medicine', 'science', 'weather']",719238
644,1274,73,66,12,197,92,32,139,117,65,70,55,42,22,20,5,"['creativity', 'entertainment', 'film']",733293
645,1386,3356,923,2090,1029,1246,612,128,259,1316,348,149,557,100,157,215,"['culture', 'evolutionary psychology', 'global issues', 'morality', 'philosophy', 'psychology', 'religion', 'science']",3433437
646,334,76,53,102,31,132,66,14,40,6,6,4,12,3,2,0,"['Brazil', 'South America', 'activism', 'biodiversity', 'biology', 'birds', 'global issues', 'science']",320717
647,266,146,476,104,227,224,312,79,19,15,2,84,9,10,5,3,"['business', 'language', 'law', 'simplicity']",876649
648,974,180,133,318,265,222,145,107,21,44,23,14,3,14,27,17,"['Mars', 'Planets', 'TEDx', 'exploration', 'life', 'science', 'space', 'technology']",622046
649,566,180,235,610,74,507,85,69,36,32,80,30,55,11,8,6,"['TED Fellows', 'brain', 'entertainment', 'live music', 'mental health', 'music', 'performance', 'violin']",1163387
650,407,74,70,264,47,72,54,87,6,35,31,71,32,12,11,16,"['humanity', 'psychology', 'theater']",176995
651,1081,270,513,282,369,368,323,15,89,26,14,28,30,5,24,3,"['Slavery', 'business', 'economics', 'global issues', 'humanity', 'trafficking']",857400
652,983,152,543,67,122,10,12,26,149,75,53,41,26,11,7,0,"['children', 'education', 'global development', 'poverty', 'teaching']",940686
653,201,137,230,62,207,261,56,7,43,23,84,117,13,17,13,2,"['future', 'global issues', 'media', 'news', 'science']",684929
654,189,422,929,2417,1050,827,312,238,210,729,226,45,19,11,32,1660,"['business', 'dance', 'entertainment', 'leadership', 'marketing', 'online video']",6475731
655,492,795,146,302,119,2141,826,778,825,782,478,406,649,276,143,77,"['children', 'creativity', 'education', 'intelligence']",4782854
656,1698,368,151,154,327,372,187,105,346,103,74,97,179,47,33,18,"['business', 'consumerism', 'design', 'entertainment', 'gaming', 'technology']",449161
657,1154,266,667,712,100,268,245,175,205,46,94,53,12,16,27,23,"['AIDS', 'global issues', 'health', 'health care', 'sex']",1222800
658,1172,140,178,139,508,103,103,40,98,2,56,132,21,8,6,0,"['design', 'health', 'health care', 'medicine', 'prosthetics', 'technology', 'war']",523422
659,955,183,69,236,522,508,378,107,552,49,128,30,46,53,40,13,"['AI', 'TEDx', 'engineering', 'robots', 'science', 'technology']",1922563
660,432,59,252,224,259,36,10,5,41,38,43,7,40,2,0,0,"['bees', 'biology', 'botany', 'environment', 'life', 'sex']",403708
661,1758,192,875,33,388,191,163,16,39,143,42,9,6,10,25,16,"['literature', 'music', 'performance', 'poetry']",860139
662,1141,2272,702,962,264,1406,709,76,356,564,107,80,110,158,41,94,"['global issues', 'medicine', 'religion', 'science', 'writing']",1838628
663,362,117,71,184,158,527,215,71,90,168,182,20,48,15,9,1,"['global issues', 'media', 'photography', 'poverty', 'war']",1209663
664,373,140,87,109,134,297,94,148,12,45,18,9,12,16,2,11,"['business', 'culture', 'green', 'technology']",766536
665,748,65,77,53,64,63,102,125,26,16,36,49,21,9,29,1,"['art', 'cities', 'culture', 'design', 'entertainment', 'race']",524790
666,255,152,275,519,293,199,40,198,19,18,16,12,37,8,2,9,"['Internet', 'music', 'online video', 'performance', 'web']",399280
667,1039,77,187,223,353,196,15,69,10,130,16,35,16,1,3,0,"['animals', 'design', 'exploration', 'fish', 'mission blue', 'oceans', 'science', 'technology']",579754
668,1039,1545,757,1071,999,357,389,328,121,224,195,44,188,225,194,27,"['culture', 'health', 'magic', 'science']",2611707
669,371,38,182,83,66,28,109,31,46,6,18,8,5,1,3,0,"['TED Fellows', 'biology', 'engineering', 'invention', 'microbiology']",295059
670,411,181,336,299,617,447,587,360,116,17,19,61,62,30,16,4,"['business', 'collaboration', 'culture', 'design', 'entertainment', 'psychology']",3917039
671,367,89,217,373,271,137,52,26,74,5,4,28,13,53,8,2,"['business', 'culture', 'democracy', 'politics', 'social change']",538014
672,1418,150,196,362,115,43,16,114,87,75,38,18,15,37,22,9,"['culture', 'feminism', 'social change', 'women']",473956
673,1198,278,476,596,781,129,403,96,68,74,94,334,101,91,73,14,"['String theory', 'biology', 'complexity', 'computers', 'math', 'physics', 'science', 'simplicity']",1542898
674,1115,84,344,57,289,17,51,8,88,44,30,17,5,52,7,0,"['adventure', 'entertainment', 'global issues', 'goal-setting', 'oceans']",642744
675,1115,79,115,135,20,241,128,154,16,188,114,71,53,17,12,20,"['chemistry', 'complexity', 'design', 'history', 'simplicity', 'technology']",619489
676,359,279,5552,1746,937,755,210,212,245,79,31,272,25,255,89,119,"['comedy', 'entertainment', 'humor', 'statistics']",2212944
677,1007,206,181,60,444,369,119,363,11,9,42,45,25,21,3,0,"['big problems', 'cities', 'economics', 'poverty']",876307
678,1084,1930,930,1341,390,8845,21564,6600,3413,7440,2659,294,1640,1161,112,390,"['TEDx', 'business', 'entrepreneur', 'leadership', 'success']",34309432
679,1099,292,526,142,364,468,150,14,38,119,47,5,15,9,4,11,"['fish', 'green', 'mission blue', 'oceans', 'science']",612260
680,1375,120,119,116,348,71,44,48,121,43,25,36,11,3,8,3,"['creativity', 'entrepreneur', 'innovation', 'invention', 'poverty']",649531
681,297,64,177,13,48,9,80,26,21,17,8,22,5,7,9,3,"['entertainment', 'history', 'live music', 'music']",577356
