card_id,playerClass,type,name,cost,attack,health,rarity,durability,collectible,race,set,text,flavor,targeting_arrow_text,
GVG_101,PALADIN,MINION,Scarlet Purifier,3,4,3,RARE,,TRUE,,GVG,<b>Battlecry:</b> Deal 2 damage to all minions with <b>Deathrattle</b>.,"The Scarlet Crusade is doing market research to find out if the ""Mauve Crusade"" would be better received.",,
NAX4_04,NEUTRAL,HERO_POWER,Raise Dead,0,,,,,,,NAXX,"<b>Passive Hero Power</b>
Whenever an enemy dies, raise a 1/1 Skeleton.",,,
XXX_003,NEUTRAL,SPELL,Restore 1,0,,,COMMON,,,,CHEAT,Restore #1 Health to a character.,,,
LOEA14_1H,NEUTRAL,HERO,The Steel Sentinel,,,30,,,,,LOE,,,,
TB_GiftExchange_Enchantment,NEUTRAL,ENCHANTMENT,Cheap Gift,,,,,,,,TB,This card's cost is reduced.,,,
TB_Coopv3_009t,NEUTRAL,MINION,Explosive Rune,2,0,3,,,,,TB,"At the start of your turn, this explodes, dealing 9 damage to your hero.",,,
EX1_398,WARRIOR,MINION,Arathi Weaponsmith,4,3,3,COMMON,,TRUE,,EXPERT1,<b>Battlecry:</b> Equip a 2/2 weapon.,"50% off fist weapons, limited time only!",,
EX1_155be,DRUID,ENCHANTMENT,Mark of Nature,,,,,,,,EXPERT1,This minion has +4 Health and <b>Taunt</b>.,,,
TB_PickYourFate_11b,NEUTRAL,SPELL,Murloc Bonus,0,,,,,,,TB,Summon a 1/1 Murloc at the end of your turn.,,,
XXX_006,NEUTRAL,SPELL,Break Weapon,0,,,COMMON,,,,CHEAT,Destroy a hero's weapon.,,,
EX1_597,NEUTRAL,MINION,Imp Master,3,1,5,RARE,,TRUE,,EXPERT1,"[x]At the end of your turn, deal
1 damage to this minion
 and summon a 1/1 Imp.",She would enjoy the job a lot more if she just could get the imps to QUIT BITING HER.,,
GVG_080t,DRUID,MINION,Druid of the Fang,5,7,7,,,,BEAST,GVG,,,,
GVG_100e,WARLOCK,ENCHANTMENT,Brow Furrow,,,,,,,,GVG,Increased stats.,,,
PART_001e,NEUTRAL,ENCHANTMENT,Armor Plating,,,,,,,,GVG,+1 Health.,,,
CS2_151,NEUTRAL,MINION,Silver Hand Knight,5,4,4,COMMON,,TRUE,,EXPERT1,<b>Battlecry:</b> Summon a 2/2 Squire.,It's good to be a knight.   Less so to be one's squire.,,
EX1_161,DRUID,SPELL,Naturalize,1,,,COMMON,,TRUE,,EXPERT1,"Destroy a minion.
Your opponent draws 2 cards.",Another one bites the dust.,,
NAX12_02H,NEUTRAL,HERO_POWER,Decimate,0,,,,,,,NAXX,"<b>Hero Power</b>
Change the Health of enemy minions to 1.",,,
CS2_083b,ROGUE,HERO_POWER,Dagger Mastery,2,,,FREE,,,,CORE,"<b>Hero Power</b>
Equip a 1/2 Dagger.",,,
GVG_046,HUNTER,MINION,King of Beasts,5,2,6,RARE,,TRUE,BEAST,GVG,<b>Taunt</b>. <b>Battlecry:</b> Gain +1 Attack for each other Beast you have.,He never sleeps.  Not even in the mighty jungle.,,
EX1_165,DRUID,MINION,Druid of the Claw,5,4,4,COMMON,,TRUE,,EXPERT1,<b>Choose One -</b> <b>Charge</b>; or +2 Health and <b>Taunt</b>.,Cat or Bear?  Cat or Bear?!  I just cannot CHOOSE!,,
LOE_061,NEUTRAL,MINION,Anubisath Sentinel,5,4,4,COMMON,,TRUE,,LOE,<b>Deathrattle:</b> Give a random friendly minion +3/+3.,He's actually a 1/1 who picked up the hammer from the last guy.,,
TU4f_001,NEUTRAL,HERO,Lorewalker Cho,,,25,,,,,MISSIONS,,,,
OG_006,PALADIN,MINION,Vilefin Inquisitor,1,1,3,EPIC,,TRUE,MURLOC,OG,<b>Battlecry:</b> Your Hero Power becomes 'Summon a   1/1 Murloc.',Nobody expects the Vilefin Inquisition!,,
AT_081,PALADIN,MINION,Eadric the Pure,7,3,7,LEGENDARY,,TRUE,,TGT,"<b>Battlecry:</b> Change all enemy minions'
Attack to 1.",Nobody rocks a monocle like Eadric.,,
BRMA12_8t,NEUTRAL,MINION,Chromatic Dragonkin,2,2,3,,,,DRAGON,BRM,"Whenever your opponent casts a spell, gain +2/+2.",,,
GVG_030b,DRUID,SPELL,Tank Mode,0,,,,,,,GVG,+1 Health.,,,
BRMA07_2,NEUTRAL,HERO_POWER,ME SMASH,1,,,,,,,BRM,"<b>Hero Power</b>
Destroy a random damaged enemy minion.",,,
XXX_039,NEUTRAL,SPELL,Become Hogger,0,,,,,,,CHEAT,Become Hogger for Video Recording.,,,
CRED_36,NEUTRAL,MINION,Mike Donais,6,4,8,LEGENDARY,,,,CREDITS,"<b>Battlecry:</b> Replace all minions in the battlefield, in both hands, and in both decks with random minions.",,,
DREAM_04,DREAM,SPELL,Dream,0,,,,,,,EXPERT1,Return a minion to its owner's hand.,,,
CRED_01,NEUTRAL,MINION,Jason Chayes,6,7,6,LEGENDARY,,,,CREDITS,<b>Enrage:</b> Just kidding! He never Enrages.,,,
NEW1_004,ROGUE,SPELL,Vanish,6,,,COMMON,,TRUE,,CORE,Return all minions to their owner's hand.,,,
KARA_12_02H,NEUTRAL,HERO_POWER,Ley Lines,0,,,,,,,KARA,"[x]<b>Passive Hero Power</b>
Both players have
<b>Spell Damage +5</b>.",,,
FP1_009,NEUTRAL,MINION,Deathlord,3,2,8,RARE,,TRUE,,NAXX,<b>Taunt. Deathrattle:</b> Your opponent puts a minion from their deck into the battlefield.,"""Rise from your grave!"" - Kel'Thuzad",,
KAR_061,NEUTRAL,MINION,The Curator,7,4,6,LEGENDARY,,TRUE,MECHANICAL,KARA,"<b>Taunt</b>
<b>Battlecry:</b> Draw a Beast, Dragon, and Murloc from your deck.","The Curator guards Azeroth’s deadliest creatures, but it’s secretly terrified of squirrels.",,
CFM_328,NEUTRAL,MINION,Fight Promoter,6,4,4,EPIC,,TRUE,,GANGS,"[x]<b>Battlecry:</b> If you control
a minion with 6 or more
 Health, draw two cards.","""Yeah, I can get you Knuckles.  No, no, he's been clean for *weeks*.""",,
TB_BoomAnnoy_001e,NEUTRAL,ENCHANTMENT,Loves Annoy-o-tron,,,,,,,,TB,1,,,
BRMA12_6,NEUTRAL,SPELL,Brood Affliction: Black,1,,,,,,,BRM,"While this is in your hand, whenever Chromaggus draws a card, he gets another copy of it.",,,
CRED_46,NEUTRAL,MINION,Keith Landes,2,2,6,LEGENDARY,,,,CREDITS,"At the start of your turn, get -2 Health due to hunger.",,,
OG_149,WARRIOR,MINION,Ravaging Ghoul,3,3,3,COMMON,,TRUE,,OG,<b>Battlecry:</b> Deal 1 damage to all other minions.,"But goes by ""Ravishing Ghoul"" when he hits the club.",,
LOE_016t,NEUTRAL,MINION,Rock,1,0,6,,,,,LOE,<b>Taunt</b>,,,
XXX_061,NEUTRAL,SPELL,Armor 1,0,,,,,,,CHEAT,Give target Hero +1 Armor,,,
KAR_094,ROGUE,MINION,Deadly Fork,3,3,2,COMMON,,TRUE,,KARA,<b>Deathrattle:</b> Add a 3/2 weapon to your hand.,"For a proper setting, place the deadly fork <i>after</i> the salad fork, but <i>before</i> the dinner fork.",,
CFM_617,DRUID,MINION,Celestial Dreamer,3,3,3,RARE,,TRUE,,GANGS,"<b>Battlecry:</b> If a friendly minion has 5 or more Attack, gain +2/+2.","If you think her job is easy, YOU try falling asleep on cue.",,
EX1_033,NEUTRAL,MINION,Windfury Harpy,6,4,5,COMMON,,TRUE,,EXPERT1,<b>Windfury</b>,Harpies are not pleasant sounding.  That's the nicest I can put it.,,
BRMA09_4H,NEUTRAL,HERO_POWER,Blackwing,1,,,,,,,BRM,"<b>Hero Power</b>
Summon a 5/4 Dragonkin. Get a new Hero Power.",,,
EX1_405,NEUTRAL,MINION,Shieldbearer,1,0,4,COMMON,,TRUE,,EXPERT1,<b>Taunt</b>,Have you seen the size of the shields in this game??  This is no easy job.,,
LOEA01_01h,NEUTRAL,HERO,Sun Raider Phaerix,,,30,,,,,LOE,,,,
XXX_105,NEUTRAL,SPELL,Add 8 to Health.,0,,,COMMON,,,,CHEAT,Adds 8 health to a damaged character. Does NOT heal.,,,
BRMA10_1,NEUTRAL,HERO,Razorgore the Untamed,,,30,,,,,BRM,,,,
LOE_019t,NEUTRAL,SPELL,Map to the Golden Monkey,2,,,,,,,LOE,Shuffle the Golden Monkey into your deck. Draw a card.,,,
OG_220,WARRIOR,MINION,Malkorok,7,6,5,LEGENDARY,,TRUE,,OG,<b>Battlecry:</b> Equip a random weapon.,Garrosh's best buddy. It's true. Look it up.,,
DS1_188,HUNTER,WEAPON,Gladiator's Longbow,7,5,,EPIC,2,TRUE,,EXPERT1,Your hero is <b>Immune</b> while attacking.,The longbow allows shots to be fired from farther away and is useful for firing on particularly odorous targets.,,
TB_KTRAF_HP_RAF5,NEUTRAL,HERO_POWER,Staff of Origination,2,,,,,,,TB,Add a random legendary minion to your hand. It costs (4) less.,,,
BRMC_98,NEUTRAL,MINION,Razorgore,6,4,12,LEGENDARY,,,DRAGON,TB,"At the start of your turn, give your minions +3 Attack.",,,
TB_PickYourFate_2_EnchMinion,NEUTRAL,ENCHANTMENT,Fate,,,,,,,,TB,<b>Deathrattle:</b> Your owner gets a banana.,,,
OG_006b,PALADIN,HERO_POWER,The Tidal Hand,2,,,,,,,OG,"<b>Hero Power</b>
Summon a 1/1 Silver Hand Murloc.",,,
TB_FW_Warper,NEUTRAL,MINION,Omegawarper,3,3,5,,,,MECHANICAL,TB,Both player's Mechs cost (2) less.,,,
BRMA09_2H,NEUTRAL,HERO_POWER,Open the Gates,2,,,,,,,BRM,"<b>Hero Power</b>
Summon three 2/2 Whelps. Get a new Hero Power.",,,
CRED_19,NEUTRAL,MINION,Beomki Hong,4,6,3,LEGENDARY,,,,CREDITS,<b>Taunt.</b> Friendly minions can’t be <b>Frozen.</b>,,,
CRED_38,NEUTRAL,MINION,Robin Fredericksen,4,4,4,LEGENDARY,,,,CREDITS,"<b>Battlecry:</b> If you have no other Erics on the battlefield, rename this card to ""Eric"".",,,
TU4e_007,NEUTRAL,WEAPON,Dual Warglaives,6,4,,COMMON,2,,,MISSIONS,,,,
BRMA13_2,NEUTRAL,HERO_POWER,True Form,1,,,,,,,BRM,"<b>Hero Power</b>
Let the games begin!",,,
GVG_032b,DRUID,SPELL,Gift of Cards,0,,,,,,,GVG,Each player draws a card.,,,
LOEA09_3aH,NEUTRAL,ENCHANTMENT,Famished,,,,,,,,LOE,Quite Hungry.,,,
AT_096,NEUTRAL,MINION,Clockwork Knight,5,5,5,COMMON,,TRUE,MECHANICAL,TGT,<b>Battlecry:</b> Give a friendly Mech +1/+1.,It takes a lot to wind him up.,Give +1/+1.,
BRMA14_11,NEUTRAL,SPELL,Recharge,0,,,,,,,BRM,Fill all empty Mana Crystals.,,,
NAX7_04H,NEUTRAL,WEAPON,Massive Runeblade,3,10,,,2,,,NAXX,Deals double damage to heroes.,,,
FP1_020e,PALADIN,ENCHANTMENT,Vengeance,,,,,,,,NAXX,1.5,,,
EX1_562,NEUTRAL,MINION,Onyxia,9,8,8,LEGENDARY,,TRUE,DRAGON,EXPERT1,<b>Battlecry:</b> Summon 1/1 Whelps until your side of the battlefield is full.,Onyxia long manipulated the Stormwind Court by disguising herself as Lady Katrana Prestor.   You would have thought that the giant wings and scales would have been a giveaway.,,
CFM_603e,PRIEST,ENCHANTMENT,Madness Potion,,,,,,,,GANGS,This minion has switched controllers this turn.,,,
NAX2_05,NEUTRAL,MINION,Worshipper,3,1,4,,,,,NAXX,Your hero has +1 Attack on your turn.,,,
CFM_335,HUNTER,MINION,Dispatch Kodo,4,2,4,RARE,,TRUE,BEAST,GANGS,<b>Battlecry:</b> Deal damage equal to this minion's Attack.,"""Crime reported at First Bank of Gadgetzan.  Huge quantities of Jade being carried away by what looks like a bunch of Hozen.  Kodo 77 can you make it over there now?""",,
EX1_536,HUNTER,WEAPON,Eaglehorn Bow,3,3,,RARE,2,TRUE,,EXPERT1,"[x]Whenever a friendly
<b>Secret</b> is revealed,
gain +1 Durability.",First Lesson: Put the pointy end in the other guy.,,
KARA_08_05,NEUTRAL,SPELL,Terrifying Roar,3,,,,,,,KARA,Return an enemy minion to your opponent's hand.,,,
CS1h_001,PRIEST,HERO_POWER,Lesser Heal,2,,,FREE,,,,CORE,"<b>Hero Power</b>
Restore #2 Health.",,,
AT_091,NEUTRAL,MINION,Tournament Medic,4,1,8,COMMON,,TRUE,,TGT,<b>Inspire:</b> Restore 2 Health to your hero.,The medic tournament is less entertaining than the Grand Tournament.,,
CS2_003,PRIEST,SPELL,Mind Vision,1,,,COMMON,,TRUE,,CORE,Put a copy of a random card in your opponent's hand into your hand.,I see what you did there.,,
EX1_089,NEUTRAL,MINION,Arcane Golem,3,4,4,RARE,,TRUE,,EXPERT1,<b>Battlecry:</b> Give your opponent a Mana Crystal.,"Having Arcane golems at home really classes up the place, and as a bonus they are great conversation pieces.",,
EX1_409t,WARRIOR,WEAPON,Heavy Axe,1,1,,,3,,,EXPERT1,,,,
EX1_310,WARLOCK,MINION,Doomguard,5,5,7,RARE,,TRUE,DEMON,EXPERT1,<b>Charge</b>. <b>Battlecry:</b> Discard two random cards.,Summoning a doomguard is risky. <i>Someone</i> is going to die.,,
EX1_019,NEUTRAL,MINION,Shattered Sun Cleric,3,3,2,COMMON,,TRUE,,CORE,<b>Battlecry:</b> Give a friendly minion +1/+1.,They always have a spare flask of Sunwell Energy Drink?,Give +1/+1.,
CS2_084e,HUNTER,ENCHANTMENT,Hunter's Mark,,,,,,,,CORE,This minion has 1 Health.,,,
EX1_345,PRIEST,SPELL,Mindgames,4,,,EPIC,,TRUE,,EXPERT1,"Put a copy of
a random minion from
your opponent's deck into the battlefield.",Sometimes it feels like this is all a game.,,
TB_Coopv3_104_NewClasses,NEUTRAL,MINION,Main Tank,4,4,4,,,,,TB,"<b>Battlecry:</b> Give all other minions +2/+2, except the <b>Boss</b>.",,,
EX1_411e2,WARRIOR,ENCHANTMENT,Needs Sharpening,,,,,,,,EXPERT1,Decreased Attack.,,,
CS2_105e,WARRIOR,ENCHANTMENT,Heroic Strike,,,,,,,,CORE,+4 Attack this turn.,,,
EX1_274,MAGE,MINION,Ethereal Arcanist,4,3,3,RARE,,TRUE,,EXPERT1,"If you control a <b>Secret</b> at the end of your turn, gain +2/+2.",The ethereals are wrapped in cloth to give form to their non-corporeal bodies. Also because it's nice and soft.,,
CRED_06,NEUTRAL,MINION,Derek Sakamoto,1,3,1,LEGENDARY,,,,CREDITS,<i>The notorious Footclapper.</i>,,,
KARA_06_01,NEUTRAL,MINION,Romulo,4,4,2,,,,,KARA,Julianne is <b>Immune</b>.,,,
AT_104,PALADIN,MINION,Tuskarr Jouster,5,5,5,RARE,,TRUE,,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, restore 7 Health to your hero.",Just could not be talked out of using his turtle for the joust...,,
KARA_00_01,NEUTRAL,HERO,Prince Malchezaar,,,30,,,,,KARA,,,,
TB_Coopv3_103,NEUTRAL,MINION,Intrepid Dragonstalker,5,3,3,,,,,TB,"Whenever ANY player plays a card, gain +1/+1.",,,
FP1_018,MAGE,SPELL,Duplicate,3,,,COMMON,,TRUE,,NAXX,"<b>Secret:</b> When a friendly minion dies, put 2 copies of it into your hand.",The one time when duping cards won't get your account banned!,,
TB_CoOpv3_203,NEUTRAL,SPELL,Meddling Fool!,0,,,,,,,TB,Damage the Lorewalker,,,
EX1_023,NEUTRAL,MINION,Silvermoon Guardian,4,3,3,COMMON,TRUE,TRUE," return it to life with 1 Health.""",EXPERT1,<b>Divine Shield</b>,"The first time they tried to guard Silvermoon against the scourge, it didn’t go so well?,,,,,HORDE,
KAR_037t,NEUTRAL,ENCHANTMENT,Secrets of Karazhan,KARA,+1/+1 and <b>Taunt</b>.,,,,,,,,,,,,
KARA_08_04e,NEUTRAL,ENCHANTMENT,Empowered,EXPERT1,+8 Attack this turn.,,,,,,,,,,,,
EX1_136,PALADIN,SPELL,Redemption,EXPERT1,<b>Secret:</b> When one of your minions dies",,I am not sure how you get demptioned the first time.  It’s a mystery!
HERO_02a,SHAMAN,HERO,Morgl the Oracle,,,30,EPIC,,TRUE,,HERO_SKINS,,,,
TB_SPT_DPromoMinion,NEUTRAL,MINION,Hell Bovine,3,2,2,,,,DEMON,TB,<b>Deathrattle:</b> Place a copy of this card in your deck.,,,
BRM_004,PRIEST,MINION,Twilight Whelp,1,2,1,COMMON,,TRUE,DRAGON,BRM,"<b>Battlecry:</b> If you're holding a Dragon, gain +2 Health.","The twilight whelps are basically magic-vampires. Despite this, they are not a reference to any popular series of novels.",,
EX1_103,NEUTRAL,MINION,Coldlight Seer,3,2,3,RARE,,TRUE,MURLOC,EXPERT1,<b>Battlecry:</b> Give your other Murlocs +2 Health.,"The Coldlight murlocs reside in the darkest pits of the Abyssal Depths.  So no, there's no getting away from murlocs.",,
NAX8_02H,NEUTRAL,HERO_POWER,Harvest,1,,,,,,,NAXX,"<b>Hero Power</b>
Draw a card. Gain a Mana Crystal.",,,
CS2_059,WARLOCK,MINION,Blood Imp,1,0,1,COMMON,,TRUE,DEMON,EXPERT1,"[x]  <b>Stealth</b>. At the end of your  
turn, give another random
 friendly minion +1 Health.",Imps are content to hide and viciously taunt everyone nearby.,,
GVG_041c,DRUID,ENCHANTMENT,Dark Wispers,,,,,,,,GVG,+5/+5 and <b>Taunt</b>.,,,
TB_SPT_DPromoHP2,NEUTRAL,HERO_POWER,So Many...,0,,,,,,,TB,"Whenever a Hell Bovine Dies, draw a card.",,,
XXX_017,NEUTRAL,SPELL,Draw 3 Cards,0,,,COMMON,,,,CHEAT,Draw 3 cards.,,,
EX1_608,MAGE,MINION,Sorcerer's Apprentice,2,3,2,COMMON,,TRUE,,EXPERT1,Your spells cost (1) less.,"Apprentices are great for bossing around.  ""Conjure me some mana buns! And a coffee!  Make that a mana coffee!""",,
CFM_621t23,NEUTRAL,SPELL,Shadow Oil,5,,,,,,,GANGS,Add 2 random Demons to your hand.,,,
EX1_590,NEUTRAL,MINION,Blood Knight,3,3,3,EPIC,,TRUE,,EXPERT1,<b>Battlecry:</b> All minions lose <b>Divine Shield</b>. Gain +3/+3 for each Shield lost.,"The Blood Knights get their holy powers from the Sunwell, which you should NOT bathe in.",,
TB_CoOpv3_BOSS4e,NEUTRAL,ENCHANTMENT,Cowed,,,,,,,,TB,Can't attack this turn.,,,
TBST_004,NEUTRAL,MINION,OLDLegit Healer,3,2,2,,,,,TB,"At the end of your turn, summon a random friendly minion that died this turn.",,,
BRMA15_1H,NEUTRAL,HERO,Maloriak,,,30,,,,,BRM,,,,
OG_209,SHAMAN,MINION,Hallazeal the Ascended,5,4,6,LEGENDARY,,TRUE,,OG,"Whenever your spells deal damage, restore that much Health to your hero.",Hallazeals all your dallazamage.,,
OG_061t,HUNTER,MINION,Mastiff,1,1,1,,,,BEAST,OG,,,,
BRM_006,WARLOCK,MINION,Imp Gang Boss,3,2,4,COMMON,,TRUE,DEMON,BRM,"Whenever this minion takes damage, summon a 1/1 Imp.","His imp gang likes to sneak into Stormwind to spraypaint ""Ragnaros Rulez"" on the Mage Tower.",,
CFM_668t2,NEUTRAL,MINION,Doppelgangster,5,2,2,RARE,,,,GANGS,<b>Battlecry:</b> Summon 2 copies of this minion.,,,
EX1_032,NEUTRAL,MINION,Sunwalker,6,4,5,RARE,,TRUE,,EXPERT1,"<b>Taunt</b>
<b>Divine Shield</b>",She doesn’t ACTUALLY walk on the Sun.  It's just a name.  Don’t worry!,,
TB_GP_01e_v2,NEUTRAL,ENCHANTMENT,Shadow Tower Stealth,,,,,,,,TB,<b>Stealth</b>.,,,
HRW02_1e,NEUTRAL,ENCHANTMENT,Overclock,1,,,,,,,TB,Increased Attack.,,,
AT_008,MAGE,MINION,Coldarra Drake,6,6,6,EPIC,,TRUE,DRAGON,TGT,You can use your Hero Power any number of times.,"The Grand Tournament has a ""No dragons allowed"" policy, but it's rarely enforced.",,
LOEA06_03h,NEUTRAL,SPELL,Animate Earthen,2,,,,,,,LOE,Give your minions +3/+3 and <b>Taunt</b>.,,,
LOEA14_2,NEUTRAL,HERO_POWER,Platemail Armor,0,,,,,,,LOE,"<b>Passive Hero Power</b>
Your Hero can only take 1 damage at a time.",,,
XXX_042,NEUTRAL,SPELL,Hand to Deck,0,,,COMMON,,,,CHEAT,Shuffle a player's hand into his deck.,,,
CFM_659,NEUTRAL,MINION,Gadgetzan Socialite,2,2,2,COMMON,,TRUE,,GANGS,<b>Battlecry:</b> Restore 2 Health.,"Comment on her height, and she'll go from flapper to kneecapper in seconds flat.",Restore 2 Health.,
LOEA16_3,NEUTRAL,SPELL,Lantern of Power,10,,,,,,,LOE,Give a minion +10/+10.,,,
OG_339e,NEUTRAL,ENCHANTMENT,Vassal's Subservience,,,,,,,,OG,1,,,
LOE_007,WARLOCK,SPELL,Curse of Rafaam,2,,,COMMON,,TRUE,,LOE,"Give your opponent a 'Cursed!' card.
While they hold it, they take 2 damage on their turn.",This is what happens when Rafaam stubs his toe unexpectedly.,,
CFM_621t9,NEUTRAL,SPELL,Shadow Oil,1,,,,,,,GANGS,Add a random Demon to your hand.,,,
GVG_029,SHAMAN,SPELL,Ancestor's Call,4,,,EPIC,,TRUE,,GVG,Put a random minion from each player's hand into the battlefield.,"""Hey! Ancestors!"" - Ancestor's call",,
BRMA11_2H,NEUTRAL,HERO_POWER,Essence of the Red,0,,,,,,,BRM,"<b>Hero Power</b>
Each player draws 3 cards. Gain a Mana Crystal.",,,
CFM_066,MAGE,MINION,Kabal Lackey,1,2,1,COMMON,,TRUE,,GANGS,"[x]<b>Battlecry:</b> The next <b>Secret</b>
you play this turn costs (0).",I'll tell you one thing he doesn't lack: GUMPTION.,,
AT_037a,DRUID,SPELL,Living Roots,0,,,,,,,TGT,Deal $2 damage.,,,
EX1_145,ROGUE,SPELL,Preparation,0,,,EPIC,,TRUE,,EXPERT1,The next spell you cast this turn costs (3) less.,"""Be Prepared"" - Rogue Motto",,
LOEA08_01h,NEUTRAL,HERO,Archaedas,,,30,,,,,LOE,,,,
GVG_073,HUNTER,SPELL,Cobra Shot,5,,,COMMON,,TRUE,,GVG,Deal $3 damage to a minion and the enemy hero.,"""Cobra Shot"" hurts way, way, way more than ""Cobra Cuddle.""",,
EX1_557,NEUTRAL,MINION,Nat Pagle,2,0,4,LEGENDARY,,TRUE,,EXPERT1,"At the start of your turn, you have a 50% chance to draw an extra card.","Nat Pagle, Azeroth's premier fisherman!  He invented the Auto-Angler 3000, the Extendo-Pole 3000, and the Lure-o-matic 2099 (still in testing).",,
KAR_A10_03,NEUTRAL,MINION,Black Rook,3,2,6,,,,,KARA,<b>Auto-Attack:</b> Deal 2 damage to the enemies opposite this minion.,,,
CFM_621_m4,NEUTRAL,MINION,Kabal Demon,2,2,2,,,,DEMON,GANGS,,,,
NAX15_01,NEUTRAL,HERO,Kel'Thuzad,,,30,,,,,NAXX,,,,
HERO_05,HUNTER,HERO,Rexxar,,,30,FREE,,TRUE,,CORE,,,,
AT_047,SHAMAN,MINION,Draenei Totemcarver,4,4,4,RARE,,TRUE,,TGT,<b>Battlecry:</b> Gain +1/+1 for each friendly Totem.,It's nice to find a real craftsman in this day and age of mass-produced totems.,,
BRMA15_2,NEUTRAL,HERO_POWER,The Alchemist,0,,,,,,,BRM,"<b>Passive Hero Power</b>
Whenever a minion is summoned, swap its Attack and Health.",,,
BRMA05_1,NEUTRAL,HERO,Baron Geddon,,,30,,,,,BRM,,,,
KAR_029,NEUTRAL,MINION,Runic Egg,1,0,2,COMMON,,TRUE,,KARA,<b>Deathrattle:</b> Draw a card.,Oh man! Runic omelettes are the best!,,
LOE_089t,NEUTRAL,MINION,Rascally Runt,2,2,2,,,,,LOE,,,,
BRM_028,NEUTRAL,MINION,Emperor Thaurissan,6,5,5,LEGENDARY,,TRUE,,BRM,"At the end of your turn, reduce the Cost of cards in your hand by (1).",His second greatest regret is summoning an evil Firelord who enslaved his entire people.,,
KAR_A02_06H,NEUTRAL,MINION,Pitcher,4,5,5,,,,,KARA,<b>Battlecry:</b> Give a minion +3/+3.,,,
CFM_712_t15,NEUTRAL,MINION,Jade Golem,10,15,15,,,,,GANGS,,,,
LOE_017,PALADIN,MINION,Keeper of Uldaman,4,3,4,COMMON,,TRUE,,LOE,<b>Battlecry:</b> Set a minion's Attack and Health to 3.,"U da man!  No, U da man!",Change to 3/3.,
BRMA11_2,NEUTRAL,HERO_POWER,Essence of the Red,0,,,,,,,BRM,"<b>Hero Power</b>
Each player draws 2 cards.",,,
CFM_063e,NEUTRAL,ENCHANTMENT,Kooky Chemistry,,,,,,,,GANGS,Attack and Health have been swapped by Kooky Chemist.,,,
CFM_621_m5,NEUTRAL,MINION,Sheep,1,1,1,,,,BEAST,GANGS,,,,
EX1_350,PRIEST,MINION,Prophet Velen,7,7,7,LEGENDARY,,TRUE,,EXPERT1,Double the damage and healing of your spells and Hero Power.,"He's been exiled from his home, and all his brothers turned evil, but otherwise he doesn't have a lot to complain about.",,
KARA_04_05h,NEUTRAL,MINION,Flying Monkey,3,5,2,,,,,KARA,<b>Charge</b>,,,
TU4c_005,NEUTRAL,MINION,Hidden Gnome,2,1,3,COMMON,,,,MISSIONS,Was hiding in a barrel!,,,
KARA_08_01,NEUTRAL,HERO,Netherspite,,,30,,,,,KARA,,,,
XXX_001,NEUTRAL,SPELL,Damage 1,0,,,COMMON,,,,CHEAT,Deal $1 damage.,,,
KAR_095,NEUTRAL,MINION,Zoobot,3,3,3,COMMON,,TRUE,MECHANICAL,KARA,"<b>Battlecry:</b> Give a random friendly Beast, Dragon, and Murloc +1/+1.",The Murloc is taking the picture.,,
AT_078,PALADIN,SPELL,Enter the Coliseum,6,,,EPIC,,TRUE,,TGT,Destroy all minions except each player's highest Attack minion.,You have to get past the vendors first.  So many are lost to shopping...,,
CFM_712_t20,NEUTRAL,MINION,Jade Golem,10,20,20,,,,,GANGS,,,,
OG_222,PALADIN,WEAPON,Rallying Blade,3,3,,RARE,2,TRUE,,OG,<b>Battlecry:</b> Give +1/+1 to your minions with <b>Divine Shield</b>.,"As far as blades go, this one is pretty great in the motivation department.",,
KARA_04_01heroic,NEUTRAL,HERO,The Crone,,,50,,,,,KARA,,,,
BRMA17_2,NEUTRAL,HERO,Nefarian,,,30,,,,,BRM,,,,
TB_KTRAF_5,NEUTRAL,MINION,Grand Widow Faerlina,4,0,5,LEGENDARY,,,,TB,Has +1 Attack for each card in your opponent's hand.,,,
LOEA06_03e,NEUTRAL,ENCHANTMENT,Animated,,,,,,,,LOE,+1/+1 and <b>Taunt</b>.,,,
LOEA12_1H,NEUTRAL,HERO,Lady Naz'jar,,,30,,,,,LOE,,,,
AT_130,WARRIOR,MINION,Sea Reaver,6,6,7,EPIC,,TRUE,,TGT,"When you draw this, deal 1 damage to your minions.",A little better than Sea Minus Reaver.,,
TB_PickYourFate_8,NEUTRAL,SPELL,Spell Bonus,0,,,,,,,TB,"Whenever you cast a spell, gain 3 Armor.",,,
LOEA16_8,NEUTRAL,SPELL,Putress' Vial,0,,,,,,,LOE,Destroy a random enemy minion.,,,
NEW1_029,NEUTRAL,MINION,Millhouse Manastorm,2,4,4,LEGENDARY,,TRUE,,EXPERT1,<b>Battlecry:</b> Enemy spells cost (0) next turn.,"""I'm gonna light you up, sweetcheeks!""",,
TB_010e,NEUTRAL,ENCHANTMENT,Choose One of Three,,,,,,,,TB,,,,
BRMA17_7,NEUTRAL,MINION,Chromatic Prototype,2,1,4,,,,,BRM,<b>Taunt</b>,,,
NAX3_02,NEUTRAL,HERO_POWER,Web Wrap,3,,,,,,,NAXX,"<b>Hero Power</b>
Return a random enemy minion to your opponent's hand.",,,
